347,Baden-Württemberg,Konstanz,Lohnerhofstraße 2,78467
348,Baden-Württemberg,Konstanz,Alfred-Wachtel-Straße 8,78462
349,Baden-Württemberg,Konstanz,Universitätsstraße 10,78464
350,Bayern,Landshut,Am Lurzenhof 1,84036
351,Sachsen,Leipzig,Wächterstraße 11,4107
352,Sachsen,Leipzig,Jahnallee 59,4109
353,Sachsen,Leipzig,Grassistraße 8,4107
354,Sachsen,Leipzig,Karl-Liebknecht-Straße 132,4277
355,Sachsen,Leipzig,Ritterstraße 26,4109
356,Schleswig-Holstein,Lübeck,Große Petersgrube 21,23552
357,Schleswig-Holstein,Lübeck,Mönkhofer Weg 239,23562
358,Schleswig-Holstein,Lübeck,Ratzeburger Allee 160,23562
359,Baden-Württemberg,Ludwigsburg,Paulusweg 6,71638
360,Baden-Württemberg,Ludwigsburg,Reuteallee 46,71634
361,Rheinland-Pfalz,Ludwigshafen,Ernst-Boehe-Str. 4,67059
362,Niedersachsen,Lüneburg,Universitätsallee 1,21335
363,Sachsen-Anhalt,Magdeburg,Hegelstraße 39,39104
364,Sachsen-Anhalt,Magdeburg,Breitscheidstraße 2,39114
365,Sachsen-Anhalt,Magdeburg,Universitätsplatz 2,39106
366,Rheinland-Pfalz,Mainz,Lucy-Hillebrand-Straße 2,55128
367,Rheinland-Pfalz,Mainz,Saarstraße 3,55122
368,Rheinland-Pfalz,Mainz,Saarstraße 21,55122
369,Baden-Württemberg,Mannheim,Paul-Wittsack-Straße 10,68163
370,Baden-Württemberg,Mannheim,Seckenheimer Landstraße 16,68163
371,Baden-Württemberg,Mannheim,Oskar-Meixner-Straße 4-6,68163
372,Baden-Württemberg,Mannheim,"N 7, 18",68161
373,Baden-Württemberg,Mannheim,Schloss,68161
374,Hessen,Marburg,Dürerstraße 43,35039
375,Hessen,Marburg,Bismarckstraße 32,35037
376,Hessen,Marburg,Biegenstraße 10,35037
377,Mecklenburg-Vorpommern,Güstrow,Goldberger Straße 12-13,18273
378,Sachsen-Anhalt,Merseburg,Eberhard-Leibnitz-Straße 2,6217
379,Hessen,Gießen,Wiesenstraße 14,35390
380,Sachsen,Mittweida,Technikumplatz 17,9648
381,Bayern,München,Akademiestraße 2-4,80799
382,Bayern,München,Lothstr. 34,80335
383,Bayern,München,Konrad-Zuse-Platz 8,81829
384,Bayern,München,Bernd-Eichinger-Platz 1,80333
385,Bayern,München,Arcisstraße 12,80333
386,Bayern,München,Kaulbachstraße 31,80539
387,Bayern,München,Baierbrunner Straße 28,81379
388,Bayern,München,Preysingstraße 95,81667
389,Bayern,München,Elsenheimerstraße 61,80687
