Flensburg U,Europa-Universität Flensburg,5998,1946,http://www.uni-flensburg.de
Frankfurt am Main FH,Frankfurt University of Applied Sciences,15297,1971,www.frankfurt-university.de
Frankfurt am Main FHProvadis,Provadis School of International Management and Technology,870,2003,http://www.provadis-hochschule.de/
Frankfurt am Main FSFM,Frankfurt School of Finance & Management,4381,1990,http://www.frankfurt-school.de/home
Frankfurt am Main HfBK,Hochschule für Bildende Künste (Städelschule),140,1817,http://www.staedelschule.de
Frankfurt am Main HfM,Hochschule für Musik und Darstellende Kunst Frankfurt am Main,971,1878,https://www.hfmdk-frankfurt.de
Frankfurt am Main PhThH,Philosophisch-Theologische Hochschule Sankt Georgen Frankfurt am Main,221,1926,http://www.sankt-georgen.de
Frankfurt am Main ToU,Tomorrow University of Applied Sciences,,2021,https://www.tomorrow-university
Frankfurt am Main U,"Johann Wolfgang Goethe-Universität, Frankfurt am Main",41107,1914,http://www.uni-frankfurt.de
Frankfurt am Main UoL,University of Labour,17,2021,https://www.university-of-labour.de/
Frankfurt (Oder) U,Europa-Universität Viadrina Frankfurt (Oder),4230,1991,https://www.europa-uni.de
Freiberg TUBergAk,Technische Universität Bergakademie Freiberg,4199,1765,http://tu-freiberg.de
Freiburg EvHS,"Evangelische Hochschule Freiburg, staatlich anerkannte Hochschule der Evangelischen Landeskirche in Baden",898,1971,https://www.eh-freiburg.de
Freiburg HfM,Hochschule für Musik Freiburg im Breisgau,627,1946,https://www.mh-freiburg.de
Freiburg KathHS,"Katholische Hochschule Freiburg, staatlich anerkannte Hochschule - Catholic University of Applied Sciences",1886,1971,www.kh-freiburg.de
Freiburg PH,Pädagogische Hochschule Freiburg,5013,1962,http://www.ph-freiburg.de
Freiburg U,Albert-Ludwigs-Universität Freiburg im Breisgau,24197,1457,https://www.uni-freiburg.de
Friedensau ThH,Theologische Hochschule Friedensau,224,1899,https://www.thh-friedensau.de/
Friedrichshafen ZU,"Zeppelin Universität - Hochschule zwischen Wirtschaft, Kultur und Politik",667,2003,http://www.zu.de
Fulda H,Hochschule Fulda - University of Applied Sciences,8963,1974,www.hs-fulda.de
Fulda ThFak,Theologische Fakultät Fulda,13,1734,http://www.thf-fulda.de
Fürth WLH,SRH Wilhelm Löhe Hochschule,417,,https://www.srh-hochschule-fuerth.de/
Furtwangen H,"Hochschule Furtwangen - Informatik, Technik, Wirtschaft, Medien, Gesundheit",4833,1850,http://www.hs-furtwangen.de
Geisenheim H,Hochschule Geisenheim,1723,2013,http://www.hs-geisenheim.de
Gera-Eisenach DH,Duale Hochschule Gera-Eisenach,1395,2016,https://www.dhge.de/
Gera H,SRH Hochschule für Gesundheit,1434,2007,https://www.srh-gesundheitshochschule.de/
Giessen FThH,Freie Theologische Hochschule Gießen,191,1974,http://www.fthgiessen.de
